Nom,Prix,Distance,Mode course,Conditions,Depart
C4,28 000E,2 650m,Attele,Course Europeenne Depart a  l'autostart Pour 6 a  9 ans inclus n'ayant pas gagne 165.000. Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant pas dans les 12 mois precedant la course ete classes au trot attele 1er 2eme ou 3eme d'une epreuve de Groupe I ou 1er d'une epreuve de Groupe II. Sont seules admises a  driver les personnes ayant gagne au moins cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Autostart
C5,22 000E,2 650m,Attele,Depart a  l'autostart Pour 4 5 et 6 ans n'ayant pas gagne 51.000. ,Autostart
C6,6 000E,2 850m,Attele,CHALLENGE UNAT Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 104.000. - Recul de 25 m. a  58.000. Sont seules admises a  driver les personnes ayant gagne au moins deux courses ou ayant couru au moins trente fois. ,Volt
C7,19 000E,2 650m,Attele,Depart a  l'autostart Pour 4 ans n'ayant pas gagne 18.200. ,Autostart
C8,19 000E,2 650m,Attele,Depart a  l'autostart Pour 3 ans n'ayant pas gagne 9.200. ,Autostart
C1,19 000E,2 800m,Attele,Apprentis-lads-jockeys Pour 5 ans n'ayant pas gagne 56.000. - Recul de 25 m. a  27.500. ,Volt
C2,18 000E,2 800m,Attele,Course Nationale LeTROT Open des Regions - Haute-Normandie/Ile-de-France - 3 ans Course qualificative Pour 3 ans n'ayant pas gagne 8.000. ,Volt
C3,18 000E,2 800m,Attele,Course Nationale LeTROT Open des Regions - Haute-Normandie/Ile-de-France - 4 ans Course qualificative Pour pouliches de 4 ans n'ayant pas gagne 18.000. ,Volt
C4,18 000E,2 800m,Attele,Course Nationale LeTROT Open des Regions - Haute-Normandie/Ile-de-France - 4 ans Course qualificative Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 18.000. ,Volt
C5,21 000E,2 800m,Monte,Pour 5 ans n'ayant pas gagne 50.000. Avantage de poids (voir Conditions Generales). ,Volt
C6,24 000E,2 800m,Attele,Pour 6 ans n'ayant pas gagne 113.000. - Recul de 25 m. a  57.000. ,Volt
C7,27 000E,2 800m,Monte,Pour 6 a  9 ans inclus n'ayant pas gagne 158.000. Avantage de poids (voir Conditions Generales). ,Volt
C8,24 000E,2 800m,Attele,Pour 7 a  10 ans inclus n'ayant pas gagne 170.000. - Recul de 25 m. a  73.000. ,Volt
C1,15 000E,2 700m,Attele,Apprentis-lads-jockeys Depart a  l'autostart Pour 6 ans n'ayant pas gagne 63.000. Course PMU eventuelle. ,Autostart
